supermercado,nombre,nombre_limpio,precio,url,seccion
ahorramas,Pechuga pavo reducida en sal Frial ahumada,pechuga pavo reducida en sal frial ahumada,20.79,https://www.ahorramas.com/frescos,frescos
ahorramas,Salmón en rodajas,salmon en rodajas,18.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Filetes de añojo 1ªB,filetes de anojo 1ab,16.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Melon Waikiki,melon waikiki,2.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Entrañas de añojo,entranas de anojo,15.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Merluza en rodajas,merluza en rodajas,24.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Trucha Arcoíris,trucha arcoiris,9.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Atún en lomos,atun en lomos,17.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso fresco Angulo,queso fresco angulo,12.29,https://www.ahorramas.com/frescos,frescos
ahorramas,Jamón de cebo ibérico 50% raza ibérica al corte,jamon de cebo iberico 50% raza iberica al corte,58.00,https://www.ahorramas.com/frescos,frescos
ahorramas,Mortadela ahumada Mrm,mortadela ahumada mrm,8.49,https://www.ahorramas.com/frescos,frescos
ahorramas,LOTE 2 kg de traseros de pollo,lote 2 kg de traseros de pollo,3.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso fresco cabra Frescoy,queso fresco cabra frescoy,17.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Filete de jamón de cerdo duroc,filete de jamon de cerdo duroc,8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Cordero recental por cuartos,cordero recental por cuartos,15.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Chuleta de ternera blanca,chuleta de ternera blanca,21.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Ciruela amarilla,ciruela amarilla,4.29,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pavo Pavofrío,pechuga de pavo pavofrio,15.25,https://www.ahorramas.com/frescos,frescos
ahorramas,Tomate cherry sao paulo,tomate cherry sao paulo,13.96,https://www.ahorramas.com/frescos,frescos
ahorramas,Pollo relleno La Carloteña,pollo relleno la carlotena,15.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Chorizo ibérico cular Florencio Gómez,chorizo iberico cular florencio gomez,20.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Chorizo de IGP Cantimpalo Jesús Palomo dulce peso aproximado pieza 150g,chorizo de igp cantimpalo jesus palomo dulce peso aproximado pieza 150g,12.50,https://www.ahorramas.com/frescos,frescos
ahorramas,Ventresca de atún aleta amarilla pieza 900g - 1kg,ventresca de atun aleta amarilla pieza 900g - 1kg,11.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Pechuga de pollo al horno La Carloteña,pechuga de pollo al horno la carlotena,17.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Sandía Orange Sunglow,sandia orange sunglow,2.39,https://www.ahorramas.com/frescos,frescos
ahorramas,Pomelo,pomelo,2.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Lomo de añojo,lomo de anojo,24.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Langostino crudo gordo,langostino crudo gordo,10.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Calamar grande peso aproximado pieza 300g,calamar grande peso aproximado pieza 300g,14.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Lote de pierna y paletilla de cordero lechal,lote de pierna y paletilla de cordero lechal,24.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Almeja japonesa 500g,almeja japonesa 500g,13.99,https://www.ahorramas.com/frescos,frescos
ahorramas,"Costillar de cerdo duroc entero aprox 1,6kg","costillar de cerdo duroc entero aprox 1,6kg",8.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso semicurado Camporeal,queso semicurado camporeal,16.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso semicurado Alipende,queso semicurado alipende,11.95,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de oveja viejo Doña Encarnación,queso de oveja viejo dona encarnacion,22.99,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso García Baquero La Cava Barus 4 Kg,queso garcia baquero la cava barus 4 kg,21.49,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de oveja curado Flor De Esgueva,queso de oveja curado flor de esgueva,26.55,https://www.ahorramas.com/frescos,frescos
ahorramas,Chorizo de IGP Cantimpalo Jesús Palomo picante peso aproximado pieza 150g,chorizo de igp cantimpalo jesus palomo picante peso aproximado pieza 150g,12.50,https://www.ahorramas.com/frescos,frescos
ahorramas,Queso de oveja tierno vega Sotuelamos,queso de oveja tierno vega sotuelamos,18.55,https://www.ahorramas.com/frescos,frescos
